Date,Close,High,Low,Open,Volume,Shares Bought,Cumulative Shares,Investment,Portfolio Value
2015-01-31,314.2489929199219,320.4349975585937,314.00299072265625,320.4349975585937,8036550,0.15910949955770007,0.15910949955770007,50,50.0
2015-02-28,226.9720001220703,231.57400512695312,212.01499938964844,216.86700439453125,29128500,0.22029148958069256,0.3794009891383926,100,86.11340135303284
2015-03-31,260.2019958496094,261.6600036621094,245.93299865722656,254.2830047607422,25213700,0.19215840307734927,0.5715593922157418,150,148.7208946011257
2015-04-30,247.27200317382807,247.5410003662109,241.16000366210935,244.22300720214844,22877200,0.20220647448247847,0.7737658666982203,200,191.33063584600217
2015-05-31,232.07899475097656,238.96600341796875,232.07899475097656,235.93899536132807,18815300,0.2154438838967334,0.9892097505949538,250,229.5748045159411
2015-06-30,222.92599487304688,231.71299743652344,221.29600524902344,230.2330017089844,26090500,0.22428967975885575,1.2134994303538096,300,270.52056778949867
2015-07-31,258.6210021972656,265.1719970703125,255.7740020751953,263.3450012207031,27029800,0.19333309969103757,1.4068325300448472,350,363.8364388439132
2015-08-31,281.6010131835937,284.9320068359375,278.11199951171875,284.6860046386719,18995000,0.17755617934301182,1.584388709387859,400,446.1654658402675
2015-09-30,228.1210021972656,231.21600341796875,226.8600006103516,230.2559967041016,20575200,0.21918192327054106,1.8035706326584,450,411.4323402555906
2015-10-31,237.5489959716797,238.44500732421875,235.61599731445312,236.0039978027344,20488800,0.21048289341522178,2.0140535260736216,500,478.43639295201
2015-11-30,325.4309997558594,327.47198486328125,311.8810119628906,315.0050048828125,37001100,0.1536424005012133,2.167695926574835,550,705.4354525519524
2015-12-31,362.4880065917969,378.9309997558594,356.56298828125,377.41400146484375,60452200,0.13793559811843856,2.3056315246932733,600,835.7637753212699
2016-01-31,434.3340148925781,436.2460021972656,427.5150146484375,430.7210083007813,36278900,0.11511877560951858,2.420750300302792,650,1051.414196982926
2016-02-29,373.0559997558594,378.0719909667969,367.9570007324219,369.3500061035156,51656700,0.13402813527385088,2.554778435576643,700,953.0754234387549
2016-03-31,435.12298583984375,439.6530151367188,432.3190002441406,437.9169921875,74895800,0.11491004067158972,2.6696884762482327,750,1161.642821047354
2016-04-30,417.9599914550781,418.1730041503906,415.83099365234375,416.760009765625,51235700,0.11962867504597971,2.7893171512942123,800,1165.8229727204318
2016-05-31,451.875,452.47900390625,447.927001953125,448.4840087890625,40660100,0.11065006915629322,2.8999672204505056,850,1310.4226877410722
2016-06-30,536.9199829101562,543.0800170898438,525.635986328125,531.1069946289062,86061800,0.09312374579354515,2.9930909662440506,900,1607.0503504442986
2016-07-31,676.2960205078125,686.1539916992188,669.593994140625,672.5150146484375,134431008,0.07393212215333804,3.067023088397389,950,2074.215509488735
2016-08-31,606.27197265625,626.1190185546875,605.8839721679688,624.6019897460938,121887000,0.082471237753142,3.149494326150531,1000,1909.4501379849492
2016-09-30,572.302978515625,576.3109741210938,571.8140258789062,575.5460205078125,76923400,0.08736631098738008,3.236860637137911,1050,1852.46498367401
2016-10-31,613.9829711914062,615.2369995117188,609.9290161132812,609.9290161132812,56357000,0.08143548330498036,3.3182961204428914,1100,2037.377311322443
2016-11-30,729.7930297851562,736.4520263671875,701.3369750976562,701.3369750976562,130527000,0.0685125754280217,3.386808695870913,1150,2471.6693794623475
2016-12-31,756.7739868164062,758.2750244140625,746.0460205078125,746.0460205078125,80461904,0.06606992427202711,3.4528786201429402,1200,2613.0487193587046
2017-01-31,998.3250122070312,1003.0800170898438,958.698974609375,963.6580200195312,147775008,0.050083889904213946,3.502962510047154,1250,3497.095090603598
2017-02-28,989.0230102539062,989.114013671875,970.7420043945312,970.9409790039062,150110000,0.050554941069736875,3.5535174511168908,1300,3514.5105264934155
2017-03-31,1222.5,1222.5,1179.68994140625,1180.0400390625,229056992,0.0408997955010225,3.594417246617913,1350,4394.175083990399
2017-04-30,1080.5,1091.719970703125,1061.0899658203125,1071.7099609375,289633984,0.04627487274409996,3.640692119362013,1400,3933.7678349706553
