Date,Close,High,Low,Open,Volume,Shares Held,Investment,Portfolio Value
2015-01-02,9.125043869018556,9.150135425686717,8.740303210306537,8.815578677957225,13884500,1095.8851424212987,10000,10000.0
2015-01-05,9.116681098937988,9.267232056500353,8.798852540422837,9.183592458377634,16028900,1095.8851424212987,10000,9990.83536451922
2015-01-06,9.42615032196045,9.585064654973513,9.141776549324517,9.21705205356892,21643700,1095.8851424212987,10000,10329.978088066198
2015-01-07,9.300689697265623,9.543243625788284,9.14177538450105,9.267234010491688,14361600,1095.8851424212987,10000,10192.487653504244
2015-01-08,9.04140567779541,9.451237920231463,8.991221763499894,9.208684062703366,18134100,1095.8851424212987,10000,9908.342148899563
2015-01-09,9.1919584274292,9.359236859689974,8.966132743288776,9.166866862001704,18536300,1095.8851424212987,10000,10073.330670373905
2015-01-12,9.47633171081543,9.551607201167585,9.099955056701098,9.25050603740541,31410200,1095.8851424212987,10000,10384.971126538436
2015-01-13,8.932676315307617,9.61015410913585,8.798853580608036,9.59342666612161,27751100,1095.8851424212987,10000,9789.18725600425
2015-01-14,8.70684814453125,9.083224711464014,8.489385844473649,9.04976903435102,24995100,1095.8851424212987,10000,9541.70551891025
2015-01-15,9.509788513183594,9.551608323587578,8.84067393965948,8.96613337087143,47959200,1095.8851424212987,10000,10421.635939166634
2015-01-16,9.827618598937988,9.953077240716858,9.551608948907202,9.610156208717797,32505500,1095.8851424212987,10000,10769.941207959362
2015-01-20,10.480006217956545,10.597101549146194,10.120357696528837,10.20399653511,35889300,1095.8851424212987,10000,11484.883106741405
2015-01-21,10.655646324157717,10.94838418485348,10.270905523243009,10.689102011296102,36016800,1095.8851424212987,10000,11677.364489540567
2015-01-22,10.697468757629396,11.082209652958737,10.588737548335592,10.789471720425675,25263700,1095.8851424212987,10000,11723.197073002084
2015-01-23,10.396364212036133,10.69746537495937,10.321088721893714,10.588734200047702,19713500,1095.8851424212987,10000,11393.22107517091
2015-01-26,10.6138277053833,10.672375762672212,10.036716838153948,10.1203564641972,15653600,1095.8851424212987,10000,11631.536086549106
2015-01-27,10.965109825134276,11.082205109672186,10.739284173524617,10.781103974977182,23691300,1095.8851424212987,10000,12016.500942382458
2015-01-28,10.546910285949709,10.973470698818735,10.446543270741609,10.806192340138567,19198600,1095.8851424212987,10000,11558.202280822657
2015-01-29,10.279267311096191,10.396362588323749,10.095260674780407,10.270903191798585,18368200,1095.8851424212987,10000,11264.89632120725
2015-01-30,10.689098358154297,10.822921060972156,10.178899104249654,10.32945004374286,16184700,1095.8851424212987,10000,11714.024076581192
2015-02-02,10.781105041503906,10.906563660626295,10.454911515080669,10.471639756375092,14963000,1095.8851424212987,10000,11814.85283386749
2015-02-03,10.605462074279783,10.990202834636364,10.421455415592792,10.705829125114578,19240300,1095.8851424212987,10000,11622.368315715783
2015-02-04,10.797834396362305,10.923293835337388,10.63892006416977,10.672375755033809,12409700,1095.8851424212987,10000,11833.186285299102
2015-02-05,10.923293113708496,10.998567814944744,10.6640109284063,10.764377994367832,10661300,1095.8851424212987,10000,11970.674629626026
2015-02-06,10.304361343383787,10.613826652819888,10.195630159368967,10.496732145147398,19072200,1095.8851424212987,10000,11292.396498354667
2015-02-09,10.454912185668944,10.538551802212895,10.329453558499518,10.362909245587796,11698200,1095.8851424212987,10000,11457.382929593981
2015-02-10,10.178899765014648,10.287630917524016,9.994893137872156,10.270902679762754,17280400,1095.8851424212987,10000,11154.905018675203
2015-02-11,9.986533164978027,10.254179496749718,9.94471414850594,10.20399556027796,11344000,1095.8851424212987,10000,10944.093319796968
2015-02-12,10.145445823669434,10.22072131118698,9.97816740565623,10.13708170335717,11627200,1095.8851424212987,10000,11118.243341399548
2015-02-13,10.15381145477295,10.354545586256137,10.145447333216184,10.245814398957776,11347700,1095.8851424212987,10000,11127.411112232869
2015-02-17,10.061807632446287,10.187267061854495,9.93634900068461,9.953076446017787,13651800,1095.8851424212987,10000,11026.58549029911
2015-02-18,10.229086875915527,10.40472945273922,9.961441348430508,10.06180842123739,15644900,1095.8851424212987,10000,11209.904327852526
2015-02-19,10.722557067871094,10.914927855838911,10.413091780628164,10.496731392378774,30671600,1095.8851424212987,10000,11750.690979444416
2015-02-20,10.781105041503906,11.032022279748684,10.697465430324682,10.756012679562271,18397600,1095.8851424212987,10000,11814.85283386749
2015-02-23,10.630556106567385,10.89820163762194,10.52182491016482,10.613827862053173,13306100,1095.8851424212987,10000,11649.868492863205
