Date,Portfolio Value
2015-01-22,10000.0
2015-01-23,10000.0
2015-01-26,10000.0
2015-01-27,10000.0
2015-01-28,10000.0
2015-01-29,10000.0
2015-01-30,10000.0
2015-02-02,10000.0
2015-02-03,10000.0
2015-02-04,10000.0
2015-02-05,10000.0
2015-02-06,10000.0
2015-02-09,10000.0
2015-02-10,10000.0
2015-02-11,10000.0
2015-02-12,10000.0
2015-02-13,10000.0
2015-02-17,10000.0
2015-02-18,10000.0
2015-02-19,10000.0
2015-02-20,10000.0
2015-02-23,10000.0
2015-02-24,10000.0
2015-02-25,10000.0
2015-02-26,10000.0
2015-02-27,10000.0
2015-03-02,10000.0
2015-03-03,10000.0
2015-03-04,10000.0
2015-03-05,10000.0
2015-03-06,10000.0
2015-03-09,10000.0
2015-03-10,10000.0
2015-03-11,10000.0
2015-03-12,10000.0
2015-03-13,10000.0
2015-03-16,10000.0
2015-03-17,10000.0
2015-03-18,10000.0
2015-03-19,10000.0
2015-03-20,10000.0
2015-03-23,10000.0
2015-03-24,10000.0
2015-03-25,10000.0
2015-03-26,10000.0
2015-03-27,10000.0
2015-03-30,10000.0
2015-03-31,10000.0
2015-04-01,10000.0
2015-04-02,10000.0
2015-04-06,10000.0
2015-04-07,10000.0
2015-04-08,10000.0
2015-04-09,10000.0
2015-04-10,10000.0
2015-04-13,10000.0
2015-04-14,10000.0
2015-04-15,10000.0
2015-04-16,10000.0
2015-04-17,10000.0
2015-04-20,10000.0
2015-04-21,10000.0
2015-04-22,10000.0
2015-04-23,10000.0
2015-04-24,10000.0
2015-04-27,10000.0
2015-04-28,10000.0
2015-04-29,10000.0
2015-04-30,10000.0
2015-05-01,10000.0
2015-05-04,10000.0
2015-05-05,10000.0
2015-05-06,10000.0
2015-05-07,10000.0
2015-05-08,10000.0
2015-05-11,10000.0
2015-05-12,10000.0
2015-05-13,10000.0
2015-05-14,10000.0
2015-05-15,10000.0
2015-05-18,10000.0
2015-05-19,10000.0
2015-05-20,10000.0
2015-05-21,10000.0
2015-05-22,10000.0
2015-05-26,10000.0
2015-05-27,10000.0
2015-05-28,10000.0
2015-05-29,10000.0
2015-06-01,10000.0
2015-06-02,10000.0
2015-06-03,10000.0
2015-06-04,10000.0
2015-06-05,10000.0
2015-06-08,10000.0
2015-06-09,10000.0
2015-06-10,10000.0
2015-06-11,10000.0
2015-06-12,10000.0
2015-06-15,10000.0
2015-06-16,10000.0
2015-06-17,10000.0
2015-06-18,10000.0
2015-06-19,10000.0
2015-06-22,10000.0
2015-06-23,10000.0
2015-06-24,10000.0
2015-06-25,10000.0
2015-06-26,10000.0
2015-06-29,10000.0
2015-06-30,10000.0
2015-07-01,10000.0
2015-07-02,10000.0
2015-07-06,10000.0
2015-07-07,10000.0
2015-07-08,10000.0
2015-07-09,10000.0
2015-07-10,10000.0
2015-07-13,10001.93056801683
2015-07-14,10001.890008937624
2015-07-15,10002.871512438336
2015-07-16,10004.24238033985
2015-07-17,10005.1427794801
2015-07-20,10007.13011916946
2015-07-21,10006.059377415719
2015-07-22,10001.573663297551
2015-07-23,10001.524991022708
2015-07-24,10000.98961669635
2015-07-27,9999.586316709216
2015-07-28,10000.081118158416
2015-07-29,9999.764751821416
2015-07-30,9999.261850974532
2015-07-31,9998.393911515805
2015-08-03,9996.073985997149
2015-08-04,9992.991571866114
2015-08-05,9993.608050552935
2015-08-06,9994.027196417368
2015-08-07,9995.01299993002
2015-08-10,10005.63024437939
2015-08-11,9989.881466618766
2015-08-12,9994.30528636808
2015-08-13,9994.077771846718
2015-08-14,9996.125316926755
2015-08-17,9999.158879550037
2015-08-18,9997.490382651878
2015-08-19,9993.72385085657
2015-08-20,9987.758004887057
2015-08-21,9970.340751631333
2015-08-24,9963.667127890703
2015-08-25,9965.817846068256
2015-08-26,9991.966932336385
2015-08-27,10008.962365832991
2015-08-28,10010.909385218914
2015-08-31,10008.120412708002
2015-09-01,9981.601139052971
2015-09-02,10005.910502936844
2015-09-03,9995.544798753712
2015-09-04,9989.756888914802
2015-09-08,10005.752661785362
2015-09-09,9994.387252426044
2015-09-10,10007.120662981673
2015-09-11,10015.750159048655
2015-09-14,10021.537979787281
2015-09-15,10026.641911303106
2015-09-16,10027.326067826756
2015-09-17,10014.224183050439
2015-09-18,10011.751293793763
2015-09-21,10021.012020816244
2015-09-22,10011.488047007395
2015-09-23,10016.32895448756
2015-09-24,10019.907043655594
2015-09-25,10018.380978557096
2015-09-28,10006.43672920873
2015-09-29,9988.65182265387
2015-09-30,9995.176591833873
2015-10-01,9991.388092347339
2015-10-02,9995.597412470872
2015-10-05,9997.70209480771
2015-10-06,10000.490889118057
2015-10-07,9997.70209480771
2015-10-08,9990.967093509773
2015-10-09,10004.752956609174
2015-10-12,10002.016954216555
2015-10-13,10003.016570292459
2015-10-14,9994.702890178864
2015-10-15,10003.38508906329
2015-10-16,9999.07040785501
2015-10-19,10002.701066190064
2015-10-20,10013.434932742894
2015-10-21,10013.382363575874
2015-10-22,10022.537684963469
2015-10-23,10041.375088612243
2015-10-26,10021.380004985376
2015-10-27,10017.539114532388
2015-10-28,10042.374704688147
2015-10-29,10049.004612202189
2015-10-30,10043.584998383401
2015-11-02,10052.424771118458
2015-11-03,10059.738879706292
2015-11-04,10056.739630527303
2015-11-05,10053.78007552443
2015-11-06,10054.52000882529
2015-11-09,10051.9305318482
2015-11-10,10031.85013470028
2015-11-11,10028.36266052014
2015-11-12,10026.30181552258
2015-11-13,10008.440817325967
2015-11-16,10018.163885717364
