Date,Portfolio Value
2015-01-14,10000.0
2015-01-15,10000.0
2015-01-16,9999.167479619462
2015-01-17,9990.752139037297
2015-01-18,10006.75193682268
2015-01-19,10015.368388377748
2015-01-20,10008.611658474956
2015-01-21,10038.302484050897
2015-01-22,10050.705105943207
2015-01-23,10049.700914982397
2015-01-24,10078.221793251834
2015-01-25,10089.40873292591
2015-01-26,10127.051007576878
2015-01-27,10108.000279831507
2015-01-28,10051.67495937652
2015-01-29,10050.908979561169
2015-01-30,10037.403108320088
2015-01-31,10020.328314841225
2015-02-01,10038.445387478207
2015-02-02,10059.895119229814
2015-02-03,10039.009412622938
2015-02-04,10038.218631866897
2015-02-05,10019.655665646762
2015-02-06,10029.478320983177
2015-02-07,10039.935450091865
2015-02-08,10031.661966762338
2015-02-09,10025.370145466395
2015-02-10,10024.85377418074
2015-02-11,10023.607592329698
2015-02-12,10028.521783881442
2015-02-13,10054.556026215874
2015-02-14,10096.27411595339
2015-02-15,10053.408931827755
2015-02-16,10051.537783716287
2015-02-17,10070.14837472054
2015-02-18,10056.26903562111
2015-02-19,10063.80892864048
2015-02-20,10070.47040897504
2015-02-21,10071.909008909892
2015-02-22,10055.60403314107
2015-02-23,10061.158426232165
2015-02-24,10060.85927397101
2015-02-25,10058.44887258054
2015-02-26,10056.459563832534
2015-02-27,10089.618334310948
2015-02-28,10090.447203264297
2015-03-01,10101.763700959142
2015-03-02,10131.237336585544
2015-03-03,10142.731017085274
2015-03-04,10126.325063981143
2015-03-05,10132.20530014647
2015-03-06,10125.621915153873
2015-03-07,10132.363409777743
2015-03-08,10128.729737604535
2015-03-09,10157.793648897747
2015-03-10,10161.896125722413
2015-03-11,10170.697406796788
2015-03-12,10166.838868884659
2015-03-13,10149.829185289223
2015-03-14,10143.31733342017
2015-03-15,10151.821225338952
2015-03-16,10159.744079191038
2015-03-17,10150.146099443307
2015-03-18,10095.051854653258
2015-03-19,10103.78400535877
2015-03-20,10105.332711003302
2015-03-21,10102.080555800309
2015-03-22,10117.04915105187
2015-03-23,10114.747738311125
2015-03-24,10074.859788780306
2015-03-25,10075.995412224544
2015-03-26,10080.400144771571
2015-03-27,10077.564900068826
2015-03-28,10088.447547901105
2015-03-29,10069.423171082532
2015-03-30,10078.502430578603
2015-03-31,10072.27352749562
2015-04-01,10078.023288615945
2015-04-02,10088.83803449641
2015-04-03,10091.322428461268
2015-04-04,10090.14342721229
2015-04-05,10103.161460460993
2015-04-06,10093.529515345252
2015-04-07,10089.168131818755
2015-04-08,10073.778884119622
2015-04-09,10071.23977137121
2015-04-10,10056.895591991086
2015-04-11,10057.801056890723
2015-04-12,10057.048378578722
2015-04-13,10035.230263888483
2015-04-14,10024.9908568011
2015-04-15,10033.807892142431
2015-04-16,10044.784844493208
2015-04-17,10031.605582793987
2015-04-18,10032.70327449542
2015-04-19,10030.952529731467
2015-04-20,10035.64436315116
2015-04-21,10060.291506598785
2015-04-22,10057.760320844689
2015-04-23,10063.05428749231
2015-04-24,10051.02596953528
2015-04-25,10039.72943426705
2015-04-26,10023.611380781798
2015-04-27,10046.436011121228
2015-04-28,10038.49046741038
2015-04-29,10038.381631122702
2015-04-30,10062.320172597343
2015-05-01,10052.904066890398
2015-05-02,10059.50643653277
2015-05-03,10072.076674394939
2015-05-04,10068.973497410765
2015-05-05,10062.264588350423
