Date,Portfolio Value
2015-01-22,10000.0
2015-01-23,10000.0
2015-01-26,10000.0
2015-01-27,10000.0
2015-01-28,10000.0
2015-01-29,10000.0
2015-01-30,10000.0
2015-02-02,10000.0
2015-02-03,10000.0
2015-02-04,10000.0
2015-02-05,10000.0
2015-02-06,10000.0
2015-02-09,10000.0
2015-02-10,10000.0
2015-02-11,10000.0
2015-02-12,10000.0
2015-02-13,10000.0
2015-02-17,10000.0
2015-02-18,10000.0
2015-02-19,10000.0
2015-02-20,10000.0
2015-02-23,10000.0
2015-02-24,10000.0
2015-02-25,10000.0
2015-02-26,10000.0
2015-02-27,10000.0
2015-03-02,10000.0
2015-03-03,10000.0
2015-03-04,10000.0
2015-03-05,10000.0
2015-03-06,10000.0
2015-03-09,10000.0
2015-03-10,10000.0
2015-03-11,10000.0
2015-03-12,10000.0
2015-03-13,10000.0
2015-03-16,10000.0
2015-03-17,10000.0
2015-03-18,10000.0
2015-03-19,9999.270755892989
2015-03-20,10001.185073437387
2015-03-23,10003.919759544075
2015-03-24,10003.646313709343
2015-03-25,10003.555158195968
2015-03-26,10002.917059249634
2015-03-27,10002.917059249634
2015-03-30,10001.549695490892
2015-03-31,9999.908823781227
2015-04-01,10009.480390797817
2015-04-02,10008.295338065827
2015-04-06,10014.949845832785
2015-04-07,10012.670895882184
2015-04-08,10012.306304886773
2015-04-09,10013.217860020537
2015-04-10,10015.587965484516
2015-04-13,10012.670895882184
2015-04-14,10014.038269993624
2015-04-15,10017.13765062271
2015-04-16,10015.314509297086
2015-04-17,10016.317251002323
2015-04-20,10016.226085136248
2015-04-21,10016.773018216505
2015-04-22,10012.762072100957
2015-04-23,10015.223312372915
2015-04-24,10014.129456565097
2015-04-27,10016.681893761226
2015-04-28,10021.239762604333
2015-04-29,10023.154059443334
2015-04-30,10018.687346113602
2015-05-01,10019.143113327786
2015-05-04,10020.05466846155
2015-05-05,10019.507766439387
2015-05-06,10015.132208623032
2015-05-07,10015.679131350591
2015-05-08,10016.226085136248
2015-05-11,10016.499541323677
2015-05-12,10016.95531889056
2015-05-13,10020.783985037451
2015-05-14,10020.14585503302
2015-05-15,10019.598921952764
2015-05-18,10020.236989841
2015-05-19,10013.673668645515
2015-05-20,10013.309025886612
2015-05-21,10013.400191752688
2015-05-22,10012.032807288548
2015-05-26,10006.745673633031
2015-05-27,10007.111890002161
2015-05-28,10009.858316069345
2015-05-29,10008.576631246287
2015-06-01,10008.210487346052
2015-06-02,10009.67521823748
2015-06-03,10009.76677750611
2015-06-04,10007.020341086229
2015-06-05,10005.006223524913
2015-06-08,10004.914674608981
2015-06-09,10005.555537725908
2015-06-10,10006.471037237932
2015-06-11,10003.175286617055
2015-06-12,10003.175286617055
2015-06-15,10005.006223524913
2015-06-16,10002.351325668264
2015-06-17,10005.647107347238
2015-06-18,10007.203418212695
2015-06-19,10005.097772440846
2015-06-22,10002.168238189097
2015-06-23,10002.168238189097
2015-06-24,10001.710472904037
2015-06-25,10000.61192732364
2015-06-26,9999.787976727546
2015-06-29,9998.689400089053
2015-06-30,9997.590813097862
2015-07-01,9995.668306568674
2015-07-02,9996.766893559865
2015-07-06,10001.95270440221
2015-07-07,9992.136588618052
2015-07-08,9991.766188518106
2015-07-09,9988.988051630497
2015-07-10,9988.247167653368
2015-07-13,9984.29697289609
2015-07-14,9981.26128788072
2015-07-15,9969.82276640602
2015-07-16,9946.241566383307
2015-07-17,9915.774431247866
2015-07-20,9807.70953050645
2015-07-21,9815.87807675928
2015-07-22,9801.466291102568
2015-07-23,9768.050157992317
2015-07-24,9791.070557388803
2015-07-27,9742.02940681244
2015-07-28,9740.500692213089
2015-07-29,9796.752240168265
2015-07-30,9764.830577200917
2015-07-31,9766.72498056019
2015-08-03,9694.236317947865
2015-08-04,9715.61724740819
2015-08-05,9656.866937972109
2015-08-06,9737.946730131185
2015-08-07,9777.984737717186
2015-08-10,9927.111052983117
2015-08-11,9945.424735736418
2015-08-12,10063.155764762485
2015-08-13,9968.971237398413
2015-08-14,9945.424735736418
2015-08-17,9995.134000586364
2015-08-18,9940.191916827724
2015-08-19,10002.981897593887
2015-08-20,10091.935381189956
2015-08-21,10031.761218164576
2015-08-24,9827.693706710352
2015-08-25,9764.903430087406
2015-08-26,9649.788958444078
2015-08-27,9731.140845803899
2015-08-28,9807.244381773955
2015-08-31,9760.007592053762
2015-09-01,9707.521859230237
2015-09-02,9691.77665713255
2015-09-03,9636.667118435122
2015-09-04,9618.29707496479
2015-09-08,9647.163969143045
2015-09-09,9581.55698802413
2015-09-10,9565.811933854831
2015-09-11,9602.551133225146
2015-09-14,9571.060285244597
2015-09-15,9576.308488705972
2015-09-16,9694.400906791629
2015-09-17,9731.140845803899
2015-09-18,9707.521859230237
2015-09-21,9662.910058811078
2015-09-22,9539.569141407264
2015-09-23,9494.95660134615
2015-09-24,9657.661115707748
2015-09-25,9660.285513295217
2015-09-28,9578.933034221833
2015-09-29,9565.811933854831
2015-09-30,9605.175826669398
2015-10-01,9560.56387832185
2015-10-02,9660.285513295217
2015-10-05,9733.764799606195
2015-10-06,9851.85692183507
2015-10-07,9836.110980095425
2015-10-08,9815.116834894408
2015-10-09,9933.209252980065
2015-10-12,9880.72352015654
2015-10-13,9893.844620523541
2015-10-14,10082.792075261097
2015-10-15,10077.543132157767
2015-10-16,9996.191540654727
2015-10-19,9920.087412971108
2015-10-20,10006.68839136265
2015-10-21,9906.96675638928
2015-10-22,9927.960901590299
2015-10-23,9969.94860027877
