Date,Portfolio Value
2015-01-30,10000.0
2015-02-02,10000.0
2015-02-03,10000.0
2015-02-04,10000.0
2015-02-05,10000.0
2015-02-06,10000.0
2015-02-09,10000.0
2015-02-10,10000.0
2015-02-11,10000.0
2015-02-12,10000.0
2015-02-13,10000.0
2015-02-17,10000.0
2015-02-18,10000.0
2015-02-19,10000.0
2015-02-20,10000.0
2015-02-23,10000.0
2015-02-24,10000.0
2015-02-25,10000.0
2015-02-26,10000.0
2015-02-27,10000.0
2015-03-02,10000.0
2015-03-03,10000.0
2015-03-04,10000.0
2015-03-05,10000.0
2015-03-06,10000.0
2015-03-09,10000.0
2015-03-10,10000.0
2015-03-11,10000.0
2015-03-12,10001.807922370113
2015-03-13,10000.420267645848
2015-03-16,10003.693275164136
2015-03-17,10010.346007945
2015-03-18,10014.89792639081
2015-03-19,10011.810265423394
2015-03-20,10006.717185295385
2015-03-23,10010.887196813055
2015-03-24,10009.231931498878
2015-03-25,9998.695671768164
2015-03-26,10001.433151703308
2015-03-27,9997.516471109057
2015-03-30,10009.860257544377
2015-03-31,10000.724938669056
2015-04-01,9999.877418000353
2015-04-02,10004.915850758116
2015-04-06,10014.474809318552
2015-04-07,10008.164934692088
2015-04-08,10006.253611903365
2015-04-09,10010.728813005268
2015-04-10,10013.246307719546
2015-04-13,10012.08082523831
2015-04-14,10009.516827482385
2015-04-15,10011.754547476081
2015-04-16,10008.910854628068
2015-04-17,10002.291059058505
2015-04-20,10015.577113425028
2015-04-21,10012.360599958894
2015-04-22,10020.252453186838
2015-04-23,10025.098348029736
2015-04-24,10027.88560747785
2015-04-27,10038.605756639747
2015-04-28,10029.24641694485
2015-04-29,10020.734635643477
2015-04-30,10005.417078911107
2015-05-01,10022.095129188148
2015-05-04,10020.814646015246
2015-05-05,10005.960035021888
2015-05-06,10001.91345446123
2015-05-07,10005.87411534469
2015-05-08,10019.776997789671
2015-05-11,10012.118492768219
2015-05-12,10009.46755466311
2015-05-13,10010.292312117384
2015-05-14,10027.6119681385
2015-05-15,10026.551572854965
2015-05-18,10034.916891156745
2015-05-19,10034.210027772691
2015-05-20,10034.151645406586
2015-05-21,10041.830945378788
2015-05-22,10048.470706400285
2015-05-26,10031.779853981094
2015-05-27,10045.47436432897
2015-05-28,10044.002854815637
2015-05-29,10035.599484828825
2015-06-01,10037.041475444517
2015-06-02,10033.824650947588
2015-06-03,10034.712232989034
2015-06-04,10030.496831523815
2015-06-05,10026.559176819866
2015-06-08,10021.844699142996
2015-06-09,10019.737069167883
2015-06-10,10027.834604287795
2015-06-11,10026.016689990407
2015-06-12,10017.114956140424
2015-06-15,10015.547687523233
2015-06-16,10020.304383419543
2015-06-17,10017.991119278922
2015-06-18,10022.874982635376
2015-06-19,10011.201761474502
2015-06-22,10020.41269405837
2015-06-23,10014.720716524196
2015-06-24,10025.31980438299
2015-06-25,10018.915953614689
2015-06-26,10011.041661060357
2015-06-29,9987.735051602733
2015-06-30,9997.811157339316
2015-07-01,10011.711899830689
2015-07-02,10009.703176661109
2015-07-06,10004.179748444189
2015-07-07,10000.288494546508
2015-07-08,9959.0336145416
2015-07-09,9924.275273627782
2015-07-10,9971.111306619496
2015-07-13,10007.414836442193
2015-07-14,10006.619946374314
2015-07-15,10025.855772225126
2015-07-16,10052.72248864422
2015-07-17,10070.368804776037
2015-07-20,10108.927851118446
2015-07-21,10088.360701318623
2015-07-22,10003.059301269359
2015-07-23,10002.142993420122
2015-07-24,9992.063996720404
2015-07-27,9965.645367281733
2015-07-28,9974.960535992599
2015-07-29,9968.748840881493
2015-07-30,9958.874633778456
2015-07-31,9941.833075742763
2015-08-03,9894.393922770429
2015-08-04,9828.81878665604
2015-08-05,9842.454168519658
2015-08-06,9847.12890574518
2015-08-07,9854.681623630675
2015-08-10,9938.794956134147
2015-08-11,9810.103639809384
2015-08-12,9846.252933130814
2015-08-13,9844.335488693647
2015-08-14,9862.111666275028
2015-08-17,9889.205388155606
2015-08-18,9874.303506595494
2015-08-19,9840.663401679518
2015-08-20,9787.38051566302
2015-08-21,9631.821434069592
2015-08-24,9570.408899863454
2015-08-25,9585.263047835835
2015-08-26,9731.884603737743
2015-08-27,9813.54831475011
2015-08-28,9822.903817715023
2015-08-31,9809.50269763191
2015-09-01,9682.076568698227
2015-09-02,9798.883996264198
2015-09-03,9747.85613037424
2015-09-04,9719.363643821938
2015-09-08,9798.106982279678
2015-09-09,9742.157808511478
2015-09-10,9804.841322788468
2015-09-11,9847.322254158327
2015-09-14,9875.81430209139
2015-09-15,9900.939728044108
2015-09-16,9904.273986503795
2015-09-17,9841.060061098282
2015-09-18,9829.248185991784
2015-09-21,9873.482496399974
2015-09-22,9827.990774987888
2015-09-23,9851.113603640013
2015-09-24,9868.204519563005
2015-09-25,9860.915195829975
2015-09-28,9803.862911275446
2015-09-29,9718.912445159935
2015-09-30,9750.07832064135
2015-10-01,9731.526875831925
2015-10-02,9752.643306827422
2015-10-05,9763.449466092967
2015-10-06,9778.092020626931
2015-10-07,9763.449466092967
2015-10-08,9728.087365910287
2015-10-09,9800.469990717664
2015-10-12,9785.793759845217
2015-10-13,9791.15581521233
2015-10-14,9746.560280838561
2015-10-15,9793.132592197659
2015-10-16,9769.988146957217
2015-10-19,9789.46341499351
2015-10-20,9847.041107216395
2015-10-21,9846.759120170618
2015-10-22,9895.378212994015
2015-10-23,9994.41339301671
2015-10-26,9890.343077593085
2015-10-27,9870.551939855171
2015-10-28,9997.24374366354
2015-10-29,10031.064359029175
2015-10-30,10003.694184216445
2015-11-02,10047.890444655219
2015-11-03,10084.09314976277
2015-11-04,10069.396194837318
2015-11-05,10055.038774215664
2015-11-06,10058.59244978036
2015-11-09,10046.280340786678
2015-11-10,9951.759431698145
2015-11-11,9935.343460066642
2015-11-12,9925.642808170911
2015-11-13,9841.5688840181
2015-11-16,9887.336567630877
2015-11-17,9874.846419862319
2015-11-18,9968.824339423023
2015-11-19,10008.596713494386
2015-11-20,10022.47747030967
2015-11-23,9981.102552962013
2015-11-24,10011.265968627105
2015-11-25,9988.57628729787
2015-11-27,9982.703971014827
2015-11-30,9995.7842438484
2015-12-01,9970.157954288252
2015-12-02,9941.863309774168
2015-12-03,9913.033508974306
2015-12-04,10015.27041393792
2015-12-07,9995.250437830795
2015-12-08,9993.915922786784
2015-12-09,9924.244785612176
2015-12-10,9938.926251453866
2015-12-11,9859.112574900075
2015-12-14,9840.426438702872
2015-12-15,9786.096678625767
2015-12-16,9809.824115617237
2015-12-17,9742.526911074166
2015-12-18,9656.606674947432
2015-12-21,9695.275176351142
2015-12-22,9692.240777128038
2015-12-23,9734.952121167391
2015-12-24,9716.66024791908
2015-12-28,9677.793644523405
2015-12-29,9740.588915704026
2015-12-30,9693.338607638676
2015-12-31,9624.792951091156
2016-01-04,9627.838817300253
2016-01-05,9536.938595798927
2016-01-06,9466.555013964082
2016-01-07,9315.230381390811
2016-01-08,9333.699706791114
2016-01-11,9391.50101375102
2016-01-12,9444.985223341755
2016-01-13,9347.396941660048
2016-01-14,9429.51314981473
2016-01-15,9336.029187188993
2016-01-19,9317.64546760459
2016-01-20,9322.805817696088
2016-01-21,9303.082070911343
2016-01-22,9512.06413501453
2016-01-25,9430.197182273938
2016-01-26,9452.938486617379
2016-01-27,9181.290399306708
2016-01-28,9208.9933794016
2016-01-29,9345.207447437788
2016-02-01,9306.57551109032
