Date,Portfolio Value
2015-01-20,10000.0
2015-01-21,10000.0
2015-01-22,10002.868703682507
2015-01-23,10002.636436156155
2015-01-24,10009.233262958609
2015-01-25,10011.820781575048
2015-01-26,10020.527370621043
2015-01-27,10016.120972255268
2015-01-28,10003.093029001766
2015-01-29,10002.915859276196
2015-01-30,9999.79197604399
2015-01-31,9995.84260764784
2015-02-01,10000.033053300482
2015-02-02,10004.994336890268
2015-02-03,10000.163511281364
2015-02-04,9999.980605143726
2015-02-05,9995.687025123601
2015-02-06,9997.958987276463
2015-02-07,10000.37770204847
2015-02-08,9998.464060537775
2015-02-09,9997.00877381872
2015-02-10,9996.889338087987
2015-02-11,9996.601098512823
2015-02-12,9997.737742000261
2015-02-13,10003.7594144744
2015-02-14,10013.408732070013
2015-02-15,10003.494093647565
2015-02-16,10003.06562845454
2015-02-17,10007.327178044377
2015-02-18,10004.149015038545
2015-02-19,10005.858273584758
2015-02-20,10007.368400076342
2015-02-21,10007.691262726335
2015-02-22,10004.068556453605
2015-02-23,10005.2903132736
2015-02-24,10005.224511068158
2015-02-25,10004.69431374697
2015-02-26,10004.256740912262
2015-02-27,10011.550418783127
2015-02-28,10011.73273866579
2015-03-01,10014.197048974813
2015-03-02,10020.551122842568
2015-03-03,10023.004209352663
2015-03-04,10019.537715741371
2015-03-05,10020.767754798591
2015-03-06,10019.40440097444
2015-03-07,10020.78653676954
2015-03-08,10020.049013954218
2015-03-09,10025.889096298699
2015-03-10,10026.705201681363
2015-03-11,10028.438531431768
2015-03-12,10027.686227612057
2015-03-13,10024.369828957351
2015-03-14,10023.112901531838
2015-03-15,10024.75433551886
2015-03-16,10026.2836166658
2015-03-17,10024.431000203229
2015-03-18,10013.796626348136
2015-03-19,10015.48211918891
2015-03-20,10016.093190472007
2015-03-21,10014.163116870623
2015-03-22,10026.013723518277
2015-03-23,10023.75344324539
2015-03-24,9984.57839921513
2015-03-25,9985.693725998108
2015-03-26,9990.923541127775
2015-03-27,9986.98667093467
2015-03-28,10004.278940054424
2015-03-29,9970.360888848965
2015-03-30,9986.548057103264
2015-03-31,9974.221558726742
2015-04-01,9986.730909586782
2015-04-02,10012.339926412953
2015-04-03,10018.222902078967
2015-04-04,10015.431059981436
2015-04-05,10046.257399887574
2015-04-06,10023.449222306319
2015-04-07,10013.121587672094
2015-04-08,9976.680278035672
2015-04-09,9970.667729815279
2015-04-10,9933.929399717763
2015-04-11,9936.427269364547
2015-04-12,9934.20404793306
2015-04-13,9865.537860269385
2015-04-14,9831.2501652552
2015-04-15,9862.576363726805
2015-04-16,9896.115838316251
2015-04-17,9853.786085765058
2015-04-18,9857.486004410135
2015-04-19,9851.310245201485
2015-04-20,9868.591821989237
2015-04-21,9963.143411449177
2015-04-22,9953.433254295396
2015-04-23,9973.742015923053
2015-04-24,9927.598876301883
2015-04-25,9884.263007897054
2015-04-26,9822.43078870828
2015-04-27,9909.990837280007
2015-04-28,9878.331964423716
2015-04-29,9877.89830823616
2015-04-30,9973.280986689742
2015-05-01,9935.762686592723
2015-05-02,9961.80663685946
2015-05-03,10011.391659730996
2015-05-04,9999.273162659769
2015-05-05,9973.33559085468
2015-05-06,9917.148492944523
2015-05-07,9984.087248398419
2015-05-08,10041.958472854078
2015-05-09,10024.136248318639
2015-05-10,10010.792560656908
2015-05-11,10026.806592454148
2015-05-12,10017.900438827151
2015-05-13,9977.987697978
2015-05-14,9982.640688065294
2015-05-15,9988.338851677838
2015-05-16,9976.099543000073
2015-05-17,9981.57017622052
2015-05-18,9950.600961817909
2015-05-19,9940.645960524882
2015-05-20,9958.103033711475
2015-05-21,9969.732663641425
2015-05-22,10013.620531628969
2015-05-23,10000.675107435829
2015-05-24,10018.926667383774
2015-05-25,9985.221483885414
2015-05-26,9985.274078184177
2015-05-27,9986.738822713329
2015-05-28,9987.835139495677
2015-05-29,9985.098630027234
2015-05-30,9952.200427754164
2015-05-31,9924.529402873888
2015-06-01,9858.325426566376
2015-06-02,9885.556389233385
2015-06-03,9886.252763298202
2015-06-04,9870.523781245756
2015-06-05,9877.109108055125
2015-06-06,9884.326500122917
2015-06-07,9853.796495805504
2015-06-08,9918.182273261971
2015-06-09,9924.778720801494
2015-06-10,9921.887519541986
2015-06-11,9932.531504797927
2015-06-12,9935.800108924717
2015-06-13,9964.35686586278
2015-06-14,9977.821109281995
2015-06-15,10016.526150095451
2015-06-16,10182.580350702585
2015-06-17,10163.760045763931
