Date,Portfolio Value
2015-01-30,10000.0
2015-02-02,10000.0
2015-02-03,10000.0
2015-02-04,10000.0
2015-02-05,10000.0
2015-02-06,10000.0
2015-02-09,10000.0
2015-02-10,10000.0
2015-02-11,10000.0
2015-02-12,10000.0
2015-02-13,10000.0
2015-02-17,10000.0
2015-02-18,10001.662516811888
2015-02-19,10011.34285014864
2015-02-20,10012.491377273876
2015-02-23,10009.538080605838
2015-02-24,10007.4050963138
2015-02-25,10011.523270978647
2015-02-26,10011.193858911582
2015-02-27,10015.476795734234
2015-03-02,10011.193858911582
2015-03-03,10007.116754867324
2015-03-04,10001.245816907804
2015-03-05,10001.89821948968
2015-03-06,9988.03626206191
2015-03-09,9979.229855122629
2015-03-10,9976.183660099321
2015-03-11,9983.422889985864
2015-03-12,9973.464978881084
2015-03-13,9970.331793643316
2015-03-16,9967.887848253888
2015-03-17,9951.803992552108
2015-03-18,10002.277255941228
2015-03-19,9995.301912427662
2015-03-20,10013.612684277374
2015-03-23,10039.77042050389
2015-03-24,10037.154864736942
2015-03-25,10036.282946797746
2015-03-26,10030.179422198054
2015-03-27,10030.179422198054
2015-03-30,10017.100356034158
2015-03-31,10001.405139951394
2015-04-01,10092.958801149314
2015-04-02,10081.62357086381
2015-04-06,10144.638550855494
2015-04-07,10123.273799222052
2015-04-08,10119.890003056624
2015-04-09,10128.265611991015
2015-04-10,10149.824994420696
2015-04-13,10123.555565534234
2015-04-14,10135.746202186656
2015-04-15,10163.101984743014
2015-04-16,10147.171471842084
2015-04-17,10155.84575701822
2015-04-20,10155.065006871526
2015-04-21,10159.702136095613
2015-04-22,10126.035708960744
2015-04-23,10146.487879658445
2015-04-24,10137.398264981222
2015-04-27,10158.608254849005
2015-04-28,10196.482782037221
2015-04-29,10212.390016354562
2015-04-30,10175.644134746395
2015-05-01,10179.356056955945
2015-05-04,10186.70582987629
2015-05-05,10182.34031267558
2015-05-06,10147.762716662766
2015-05-07,10152.084742314692
2015-05-08,10156.407013401455
2015-05-11,10158.567985321612
2015-05-12,10162.169741541227
2015-05-13,10192.425557336952
2015-05-14,10187.382771383041
2015-05-15,10183.10388499414
2015-05-18,10188.095757127534
2015-05-19,10136.748148538749
2015-05-20,10133.895395625821
2015-05-21,10134.6830270819
2015-05-22,10121.76554093576
2015-05-26,10067.541473673535
2015-05-27,10071.605167330825
2015-05-28,10104.358364043645
2015-05-29,10088.047313081885
2015-06-01,10083.09407718848
2015-06-02,10104.075812881892
2015-06-03,10105.458601506127
2015-06-04,10063.980102438141
2015-06-05,10033.561567064466
2015-06-08,10032.105284235964
2015-06-09,10042.810453644031
2015-06-10,10058.82133234486
2015-06-11,9998.645734039399
2015-06-12,9998.645734039399
2015-06-15,10033.51601683755
2015-06-16,9980.922185908936
2015-06-17,10046.211998836168
2015-06-18,10078.214318219507
2015-06-19,10034.916060786167
2015-06-22,9974.67623797845
2015-06-23,9974.67623797845
2015-06-24,9964.910454240282
2015-06-25,9940.632594880806
2015-06-26,9921.791300826688
2015-06-29,9895.829038788646
2015-06-30,9869.02457694182
2015-07-01,9820.642181945183
2015-07-02,9849.14082166025
2015-07-06,9917.580626051138
2015-07-07,9784.48326760031
2015-07-08,9779.460988324385
2015-07-09,9740.744549797362
2015-07-10,9730.138860347948
2015-07-13,9692.044513544408
2015-07-14,9669.717418714146
2015-07-15,9601.056582701118
2015-07-16,9480.855221366452
2015-07-17,9345.627985277546
2015-07-20,8920.409020454885
2015-07-21,8948.94715517057
2015-07-22,8903.328228008873
2015-07-23,8806.269671573813
2015-07-24,8868.152146581328
2015-07-27,8744.746714802843
2015-07-28,8741.128510554878
2015-07-29,8867.20321612387
2015-07-30,8798.91719937624
2015-07-31,8802.798153302345
2015-08-03,8660.008798067687
2015-08-04,8700.56774289047
2015-08-05,8592.840426966954
2015-08-06,8733.71522204603
2015-08-07,8801.37692806919
2015-08-10,9042.422502993166
2015-08-11,9072.024469489641
2015-08-12,9262.323167123075
2015-08-13,9110.084687234865
2015-08-14,9072.405071667094
2015-08-17,9151.95090045259
2015-08-18,9064.910597906051
2015-08-19,9163.388958452386
2015-08-20,9302.901554610831
2015-08-21,9209.469540120888
2015-08-24,8895.783842618366
2015-08-25,8800.229937625358
2015-08-26,8625.049354287918
2015-08-27,8748.850218591508
2015-08-28,8867.21532951451
2015-08-31,8793.74715509122
2015-09-01,8712.115211077791
2015-09-02,8687.626433138075
2015-09-03,8600.043712113013
2015-09-04,8570.212077557355
2015-09-08,8618.091773814787
2015-09-09,8507.057294466975
2015-09-10,8479.86249839064
2015-09-11,8544.59543909854
2015-09-14,8488.050021162528
2015-09-15,8497.652005572745
2015-09-16,8717.668744003167
2015-09-17,8787.255652135014
2015-09-18,8742.520350633295
2015-09-21,8658.023823398249
2015-09-22,8424.411212190318
2015-09-23,8339.913284043942
2015-09-24,8653.705390258485
2015-09-25,8658.848115057152
2015-09-28,8499.431183125294
2015-09-29,8473.719298399688
2015-09-30,8550.856112088328
2015-10-01,8463.435298192127
2015-10-02,8658.848115057152
2015-10-05,8802.836872593009
2015-10-06,9034.248183292793
2015-10-07,9003.701258926236
2015-10-08,8963.38017109053
2015-10-09,9187.918896987801
2015-10-12,9089.121455379347
2015-10-13,9113.573201917576
2015-10-14,9462.163959676456
2015-10-15,9452.57697833394
2015-10-16,9305.477455091912
2015-10-19,9169.242479410988
2015-10-20,9322.717747031442
2015-10-21,9145.989898231735
2015-10-22,9182.823907406955
2015-10-23,9256.490887602105
2015-10-26,9141.384381833075
2015-10-27,9164.40625397229
2015-10-28,9228.86583491363
2015-10-29,9288.720418533952
2015-10-30,9228.86583491363
2015-11-02,9261.0956253843
2015-11-03,9297.929634559518
2015-11-04,9173.61469138139
2015-11-05,9076.924541352913
2015-11-06,8934.19324243423
2015-11-09,9079.425729910274
2015-11-10,9003.243375295433
2015-11-11,9041.954946325997
2015-11-12,9174.651254512677
2015-11-13,9169.663944595191
2015-11-16,9214.5474849106
2015-11-17,8895.37511166752
2015-11-18,9015.065489567754
2015-11-19,9171.983331071184
2015-11-20,8992.332212219613
2015-11-23,8956.40210418487
2015-11-24,9091.793407192083
2015-11-25,9091.793407192083
2015-11-27,8959.472866183474
2015-11-30,9081.20793053684
2015-12-01,9220.662146538336
2015-12-02,9124.11678091027
2015-12-03,9203.76581202347
2015-12-04,9479.886055236386
2015-12-07,9269.610051881864
2015-12-08,9181.13699398124
2015-12-09,9289.33377724618
2015-12-10,9253.268182824533
2015-12-11,9299.175310610157
2015-12-14,8942.122484865853
2015-12-15,8967.372193703573
2015-12-16,9249.277107012913
2015-12-17,8880.417367243605
2015-12-18,9031.078737358393
2015-12-21,9157.514708436924
2015-12-22,9157.514708436924
2015-12-23,9257.608568854084
2015-12-24,9341.898821361821
2015-12-28,9189.12340504809
2015-12-29,9220.416307890027
2015-12-30,9105.67488227792
2015-12-31,9110.890854746372
2016-01-04,9303.863364675806
2016-01-05,9251.709210731962
2016-01-06,9402.958338866945
2016-01-07,9825.410474854933
2016-01-08,9655.020909145502
2016-01-11,9517.006275255328
2016-01-12,9390.491617535286
2016-01-13,9460.631050865775
2016-01-14,9230.172953014706
2016-01-15,9390.491617535286
2016-01-19,9235.18311371242
2016-01-20,9495.70076753102
2016-01-21,9605.92035986822
2016-01-22,9731.168744436054
2016-01-25,10073.399159158549
2016-01-26,10201.06721560756
2016-01-27,10351.763994672985
