Date,Portfolio Value
2015-01-30,10000.0
2015-02-02,10000.0
2015-02-03,10000.0
2015-02-04,10000.0
2015-02-05,10000.0
2015-02-06,10000.0
2015-02-09,10000.0
2015-02-10,10000.0
2015-02-11,10000.0
2015-02-12,10000.0
2015-02-13,10000.0
2015-02-17,10000.0
2015-02-18,10000.0
2015-02-19,10000.0
2015-02-20,10000.0
2015-02-23,10000.0
2015-02-24,10000.0
2015-02-25,10000.0
2015-02-26,10000.0
2015-02-27,10000.0
2015-03-02,10000.0
2015-03-03,10001.130091807046
2015-03-04,10004.018325104089
2015-03-05,10001.326837117298
2015-03-06,9991.289590083341
2015-03-09,9985.327204094265
2015-03-10,9983.93240074318
2015-03-11,9994.159561389664
2015-03-12,9984.877710784061
2015-03-13,9975.403390591293
2015-03-16,10006.664924466246
2015-03-17,10001.892517754213
2015-03-18,10031.314101087219
2015-03-19,10006.418871878568
2015-03-20,10018.374451688713
2015-03-23,10026.000533520879
2015-03-24,10036.283293564453
2015-03-25,9999.776859634763
2015-03-26,9980.638106726507
2015-03-27,9954.020861309988
2015-03-30,9984.148249012533
2015-03-31,9973.56664032911
2015-04-01,9966.629715465311
2015-04-02,9988.287244438316
2015-04-06,10070.69586265328
2015-04-07,10071.717479638995
2015-04-08,10101.519466620206
2015-04-09,10117.67307027955
2015-04-10,10123.025911740284
2015-04-13,10115.698552040629
2015-04-14,10100.672270535924
2015-04-15,10103.044746941201
2015-04-16,10095.871542286444
2015-04-17,10096.437193238438
2015-04-20,10086.884776271643
2015-04-21,10112.902472562762
2015-04-22,10175.935604800161
2015-04-23,10170.656675381679
2015-04-24,10169.599076214496
2015-04-27,10250.41053296249
2015-04-28,10243.885736177757
2015-04-29,10255.778387324399
2015-04-30,10217.528957450135
2015-05-01,10217.410716643955
2015-05-04,10243.652410825825
2015-05-05,10257.801840089689
2015-05-06,10243.334660873594
2015-05-07,10279.538912368489
2015-05-08,10278.469831827113
2015-05-11,10294.512699767345
2015-05-12,10323.465179693449
2015-05-13,10314.948189098051
2015-05-14,10319.92074578825
2015-05-15,10345.284287471053
2015-05-18,10344.80747585124
2015-05-19,10336.363958979337
2015-05-20,10321.878280759778
2015-05-21,10328.406114089179
2015-05-22,10339.251767472748
2015-05-26,10337.863965018772
2015-05-27,10337.711242042564
2015-05-28,10357.963256472904
2015-05-29,10354.688693876607
2015-06-01,10347.955634518268
2015-06-02,10342.524420306032
2015-06-03,10345.684376367975
2015-06-04,10330.526080276479
2015-06-05,10346.4250285935
2015-06-08,10381.728697930357
2015-06-09,10380.296836217993
2015-06-10,10354.389334160967
2015-06-11,10357.825341986994
2015-06-12,10354.341013786576
2015-06-15,10352.840728465915
2015-06-16,10366.100448395748
2015-06-17,10401.379029130852
2015-06-18,10408.469621788787
2015-06-19,10411.410345375782
2015-06-22,10398.63822280949
2015-06-23,10435.269507815015
2015-06-24,10423.76407880156
2015-06-25,10440.257193321628
2015-06-26,10432.589291134354
2015-06-29,10409.94951150297
2015-06-30,10437.535290056861
2015-07-01,10441.469701225275
2015-07-02,10489.043186522213
2015-07-06,10487.743434687934
2015-07-07,10436.955849318505
2015-07-08,10382.089782932426
2015-07-09,10394.659771059418
2015-07-10,10399.883010568092
2015-07-13,10412.665252409155
2015-07-14,10427.485834582778
2015-07-15,10416.82698035524
2015-07-16,10431.85993773905
2015-07-17,10465.74775581723
2015-07-20,10498.02186248711
2015-07-21,10432.899841217466
2015-07-22,10437.478165347824
2015-07-23,10434.689588712246
2015-07-24,10427.239452184576
2015-07-27,10375.62946940299
2015-07-28,10424.783818595932
2015-07-29,10420.269634019567
2015-07-30,10433.67658010968
2015-07-31,10430.78762079893
2015-08-03,10402.980564100859
2015-08-04,10431.374479000371
2015-08-05,10448.7538248616
2015-08-06,10340.414815680331
2015-08-07,10324.073707733141
2015-08-10,10317.367963941662
2015-08-11,10297.486456251327
2015-08-12,10302.010204901462
2015-08-13,10328.183412984356
2015-08-14,10332.276913915879
2015-08-17,10412.282689091857
2015-08-18,10452.95429941576
2015-08-19,10414.128241746785
2015-08-20,10321.357134864009
2015-08-21,10240.368992211046
2015-08-24,10151.46662833032
2015-08-25,10160.584109115507
2015-08-26,10200.233223650892
2015-08-27,10356.582843837834
2015-08-28,10405.742259164534
2015-08-31,10410.935932730596
2015-09-01,10317.54177957734
2015-09-02,10398.668431191065
2015-09-03,10379.684994539102
2015-09-04,10347.091381698581
2015-09-08,10402.966475950983
2015-09-09,10409.592745708109
2015-09-10,10405.742259164534
2015-09-11,10421.502098199875
2015-09-14,10447.91751187307
2015-09-15,10451.320184013575
2015-09-16,10529.044163486795
2015-09-17,10527.432236585119
2015-09-18,10514.578274946407
2015-09-21,10545.996993157441
2015-09-22,10517.67280400943
2015-09-23,10518.704913648236
2015-09-24,10536.246835114918
2015-09-25,10483.894315097261
2015-09-28,10413.119817495653
2015-09-29,10398.263708483815
2015-09-30,10412.86933436666
2015-10-01,10341.760899056857
2015-10-02,10405.942246118728
2015-10-05,10393.612391985735
2015-10-06,10352.889566477319
2015-10-07,10267.153301209604
2015-10-08,10218.016659823803
2015-10-09,10159.319799258252
2015-10-12,10107.72318179354
2015-10-13,10146.129955230657
2015-10-14,10120.479069082685
2015-10-15,10170.013340597412
2015-10-16,10235.730305113639
2015-10-19,10248.663115177957
2015-10-20,10069.859127902117
2015-10-21,10034.976336490005
2015-10-22,10054.901409213751
2015-10-23,10021.824915068746
2015-10-26,10101.603822267683
2015-10-27,10036.447505902854
2015-10-28,10071.082567565309
2015-10-29,10052.981024492485
2015-10-30,9989.012426251149
2015-11-02,10082.379263726252
2015-11-03,10006.514079071918
2015-11-04,10331.172079026204
2015-11-05,10333.16726375916
2015-11-06,10341.492266862335
2015-11-09,10243.292013801307
2015-11-10,10121.181508892385
2015-11-11,10156.860426617513
2015-11-12,10071.950121778575
2015-11-13,9992.433148612949
2015-11-16,10090.895725014516
2015-11-17,10086.505944696226
2015-11-18,10186.628347536549
2015-11-19,10196.966382490747
2015-11-20,10171.616915463765
2015-11-23,10139.611975050988
2015-11-24,10146.692671053795
2015-11-25,10307.993243552146
2015-11-27,10335.8918178635
2015-11-30,10316.964796555847
2015-12-01,10413.15173352612
2015-12-02,10341.69843540523
2015-12-03,10351.49308455094
2015-12-04,10320.11385195697
2015-12-07,10330.113354052848
2015-12-08,10271.315450153801
2015-12-09,10241.983157737019
2015-12-10,10275.9818081739
2015-12-11,10141.986610952028
2015-12-14,10162.785720264945
2015-12-15,10196.25128516818
2015-12-16,10375.178440566006
2015-12-17,10360.245560862515
2015-12-18,10321.571056044633
2015-12-21,10349.012788748762
2015-12-22,10314.906528426325
2015-12-23,10311.639504158818
2015-12-24,10323.008382221486
2015-12-28,10301.838992154648
2015-12-29,10409.515640579493
2015-12-30,10421.276516690394
2015-12-31,10446.11536366098
2016-01-04,10233.510625057486
2016-01-05,10233.764195266955
2016-01-06,10178.101543913452
2016-01-07,10135.11830993682
2016-01-08,10074.563067547286
2016-01-11,10032.448012113593
2016-01-12,10061.531993488676
2016-01-13,9925.70430777782
2016-01-14,10010.324576089231
2016-01-15,9992.763843084445
2016-01-19,9988.687515044654
2016-01-20,9895.775215614085
2016-01-21,9915.812722262044
2016-01-22,9957.391289436011
2016-01-25,9855.918454282388
2016-01-26,9808.588792015027
2016-01-27,9714.586203035484
2016-01-28,9743.05868399813
